AUC:0.7808   Time:0.1236   
AUC:0.7467   Time:0.0696   
AUC:0.8432   Time:0.1218   
AUC:0.7642   Time:0.0741   
AUC:0.6119   Time:0.0104   
AUC:0.7433   Time:0.1025   
AUC:0.8157   Time:0.1192   
AUC:0.8122   Time:0.0134   
AUC:0.8116   Time:0.0118   
AUC:0.8468   Time:0.0889   
AUC:0.6736   Time:0.1123   
AUC:0.6554   Time:0.1199   
AUC:0.6931   Time:0.1231   
AUC:0.6807   Time:0.1192   
AUC:0.7354   Time:0.1161   
AUC:0.6708   Time:0.1441   
AUC:0.7132   Time:0.1158   
AUC:0.7143   Time:0.1331   
AUC:0.704   Time:0.12   
AUC:0.7064   Time:0.1173   
